01_PortLocation,02_PortName,03_PortAuth,04_PortAddress,05_PortPhone,06_PortFax,07_Port800Num,08_PortEmail,09_PortWeb,10_PortLat,11_PortLong,12_PortLOCODE,13_PortType,14_PortSize,LAT,LONGS
Balikpapan,Port of Balikpapan,Balikpapan Port Authority,"Jl Yos Sudarso No 30Balikpapan, Kalimantan TimurIndonesia",62 54 231223,62 54 231227,NAN,NAN,NAN,"1° 15' 37"" S","116° 48' 43"" E",IDBPN,Seaport,Medium,-1.2602777777777778,116.81194444444444
Balongan,Port of Balongan,PKK UP VI Balongan,"Jl RayaBalongan, IndramayuIndonesia",62 234 428232,62 234 426629,NAN,NAN,www.pertamina.com,"6° 21' 38"" S","108° 23' 25"" E",IDBAL,"Pier, Jetty or Wharf",Small,-6.360555555555555,108.39027777777778
Banyuwangi,Port of Banyuwangi,Banyuwangi Port Authority,Meneng BanyuwangiIndonesia,NAN,NAN,NAN,NAN,NAN,"8° 12' 30"" S","114° 22' 54"" E",IDBJU,Harbor,Small,-8.208333333333332,114.38166666666666
Batu Ampar,Port of Batu Ampar,NAN,Batu AmparIndonesia,NAN,NAN,NAN,NAN,NAN,"1° 10' 11"" N","104° 1' 12"" E",IDBUR,Seaport,Medium,1.1697222222222223,104.02
Bau-Bau,Port of Bau-Bau,Adpel Bau-Bau,"Dit Jen Perhubungan LautCabangBau-Bau, Buton Sulawesi TenggaraIndonesia",NAN,NAN,NAN,NAN,NAN,"5° 27' 16"" S","122° 36' 26"" E",NAN,"Pier, Jetty or Wharf",Small,-5.454444444444444,122.60722222222222
Belida,Belida Marine Terminal,NAN,Indonesia,NAN,NAN,NAN,NAN,NAN,"4° 7' 59"" N","105° 7' 59"" E",NAN,Off-Shore Terminal,Very Small,4.133055555555555,105.13305555555554
Bengkulu,Port of Bengkulu,Indonesia Port Corporation II,BengkuluIndonesia,62 736 51409,62 736 51956,NAN,NAN,portal.inaport2.co.id,"3° 47' 32"" S","102° 15' 17"" E",IDBKS,"Pier, Jetty or Wharf",Small,-3.792222222222222,102.25472222222223
Benoa,Port of Benoa,Benoa Port Administrator,"Benoa Port AdministratorBenoa, BaliIndonesia",62 361 720560,62 361 723351,NAN,NAN,www.pp3.co.id,"8° 44' 40"" S","115° 12' 33"" E",IDBOA,Seaport,Very Small,-8.744444444444444,115.20916666666668
Benteng,Port of Benteng,Adpel Benteng,"Dit Jen Perhubungan LautCabang Benteng, Pulau Selayar SulselIndonesia",NAN,NAN,NAN,NAN,NAN,"6° 7' 9"" S","120° 27' 22"" E",NAN,"Pier, Jetty or Wharf",Small,-6.119166666666667,120.45611111111111
Biak,Port of Biak,NAN,BiakIndonesia,NAN,NAN,NAN,NAN,NAN,"1° 11' 2"" S","136° 4' 26"" E",IDBIK,"Pier, Jetty or Wharf",Small,-1.183888888888889,136.0738888888889
Bima,Bima Terminal,NAN,BimaIndonesia,NAN,NAN,NAN,NAN,NAN,"5° 46' 0"" S","107° 4' 59"" E",IDBMT,Off-Shore Terminal,Very Small,-5.766666666666667,107.08305555555555
Bima,Port of Bima,Administrator Pelabuhan Bima,"Dit Jen Perhubungan LautBima, SumbawaIndonesia",NAN,NAN,NAN,NAN,NAN,"8° 26' 52"" S","118° 42' 47"" E",IDBMU,"Pier, Jetty or Wharf",Small,-8.447777777777778,118.71305555555556
Bintuni,Port of Bintuni,NAN,BintuniIndonesia,NAN,NAN,NAN,NAN,NAN,"2° 11' 42"" S","133° 14' 38"" E",IDNTI,"Pier, Jetty or Wharf",Very Small,-2.195,133.24388888888888
Biringkasi,Port of Biringkasi,NAN,BiringkasiIndonesia,NAN,NAN,NAN,NAN,NAN,"4° 49' 1"" S","119° 29' 29"" E",IDBIR,"Pier, Jetty or Wharf",Very Small,-4.816944444444444,119.49138888888889
Bitung,Port of Bitung,Bitung Port Administration,Indonesian Port Corp IVJl DS Sumolang No 1Bitung 95522Indonesia,62 43 821196,62 43 21380,NAN,NAN,NAN,"1° 26' 17"" N","125° 11' 1"" E",IDBIT,Seaport,Small,1.4380555555555556,125.18361111111112
Blang Lancang,Port of Blang Lancang,Blang Lancang Port Authority,"PO Box 22LhokseumaweAceh, SumateraIndonesia",62 645 322006,62 645 439222,NAN,NAN,NAN,"5° 13' 14"" N","97° 5' 47"" E",IDBLL,Harbor,Small,5.220555555555555,97.09638888888888
Bojonegara,Port of Bojonegara,NAN,BojonegaraIndonesia,NAN,NAN,NAN,NAN,NAN,"5° 58' 22"" S","106° 6' 27"" E",NAN,"Pier, Jetty or Wharf",Small,-5.972777777777778,106.10749999999999
Bontang,Port of Bontang,Pertamina Tongkang-Cabang Bontang PT,"PT Badak NGL CoBontang, East KalimantanIndonesia",62 548 55 1575,62 548 21119,NAN,NAN,www.pertamina.com,"0° 5' 37"" N","117° 28' 45"" E",IDBXT,Seaport,Small,0.0936111111111111,117.47916666666667
Buatan,Port of Buatan,NAN,BuatanIndonesia,NAN,NAN,NAN,NAN,NAN,"0° 44' 55"" N","101° 50' 57"" E",IDBUN,River Port,Very Small,0.748611111111111,101.84916666666666
Bula,Port of Bula,NAN,BulaIndonesia,NAN,NAN,NAN,NAN,NAN,"3° 6' 4"" S","130° 30' 12"" E",IDBUA,"Pier, Jetty or Wharf",Very Small,-3.1011111111111114,130.50333333333333
Bunyu,Port of Bunyu,NAN,BunyuIndonesia,NAN,NAN,NAN,NAN,NAN,"3° 27' 39"" N","117° 50' 12"" E",IDBYQ,"Pier, Jetty or Wharf",Very Small,3.4608333333333334,117.83666666666666
Celukan Bawang,Port of Celukan Bawang,Adpel Celukan Bawang,"Jl Pelabuhan 36Celukan Bawang, Bali 81155Indonesia",62 362 93266,62 362 93266,NAN,plb3cbw_sgr@telkom.net,NAN,"8° 11' 26"" S","114° 50' 8"" E",IDCEB,"Pier, Jetty or Wharf",Small,-8.190555555555555,114.83555555555554
Cigading,Port of Cigading,Krakatau Steel Group,"JL. May. Jend S. Parman Km. 13Cigading, Cilegon - BantenIndonesia",62 - 254 - 311121,62 - 254 - 311178,NAN,komersial@cigadingport.com,www.cigadingport.com,"6° 0' 49"" S","105° 57' 21"" E",IDCIG,Seaport,Small,-6.0136111111111115,105.95583333333333
Ciwandan,Port of Ciwandan,Ciwandan Port Administrator,Perumpe II Cabang BantenJl RayaCiwandanIndonesia,62 254 311178,NAN,NAN,NAN,NAN,"6° 1' 27"" S","105° 56' 24"" E",IDCIW,Seaport,Small,-6.024166666666667,105.94
Dabo,Port of Dabo,Dabo Port Authority,JL Pelambuhanm DaboSingkepRiau 29171Indonesia,62 776 21256,62 776 21256,NAN,NAN,NAN,"0° 30' 10"" S","104° 34' 6"" E",IDDAS,"Pier, Jetty or Wharf",Small,-0.5027777777777778,104.56833333333333
Ende,Port of Ende,NAN,EndeIndonesia,NAN,NAN,NAN,NAN,NAN,"8° 51' 11"" S","121° 39' 18"" E",NAN,"Pier, Jetty or Wharf",Small,-8.853055555555555,121.655
Gebe Island,Gebe Island,NAN,Gebe IslandIndonesia,NAN,NAN,NAN,NAN,NAN,"0° 4' 41"" S","129° 25' 41"" E",NAN,"Pier, Jetty or Wharf",Very Small,-0.07805555555555556,129.42805555555555
Gilimanuk,Port of Gilimanuk,NAN,GilimanukIndonesia,NAN,NAN,NAN,NAN,NAN,"8° 9' 42"" S","114° 26' 11"" E",IDGIL,"Pier, Jetty or Wharf",Very Small,-8.161666666666667,114.4363888888889
Gorontalo,Port of Gorontalo,Gorontalo Port Authority,"Adpel GorontaloJalan Mayor DullahGorontalo, North Sulawesi, Sulutara 96118Indonesia",62 435 821074,62 435 825636,NAN,NAN,NAN,"0° 30' 42"" N","123° 3' 41"" E",IDGTO,Harbor,Small,0.5116666666666667,123.06138888888889
Hagu,Port of Hagu,NAN,HaguIndonesia,NAN,NAN,NAN,NAN,NAN,"5° 11' 39"" N","97° 8' 51"" E",IDGEB,"Pier, Jetty or Wharf",Very Small,5.194166666666667,97.14750000000001
Jayapura,Port of Jayapura,Jayapura Port Office Administration,"Jl KotiJayapura, Irian Jaya 99221Indonesia",62 967 533923,NAN,NAN,NAN,NAN,"2° 32' 58"" S","140° 42' 53"" E",IDDJJ,Seaport,Small,-2.549444444444444,140.7147222222222
Kaimana,Port of Kaimana,NAN,KaimanaIndonesia,NAN,NAN,NAN,NAN,NAN,"3° 39' 46"" S","133° 45' 32"" E",IDKNG,"Pier, Jetty or Wharf",Small,-3.662777777777778,133.7588888888889
Kalianget,Port of Kalianget,Adpel Kalianget,"Dit Jen Perhubungan LautJl Komplek Pelabuhan 2Kalianget, MaduraIndonesia",62 328 21304,NAN,NAN,NAN,NAN,"7° 3' 23"" S","113° 56' 39"" E",IDKAT,Harbor,Small,-7.056388888888889,113.94416666666667
Kalimantan,North Pulau Laut Coal Terminal,NAN,KalimantanIndonesia,NAN,NAN,NAN,NAN,NAN,"3° 12' 37"" S","116° 16' 59"" E",IDNPL,"Pier, Jetty or Wharf",Small,-3.210277777777778,116.28305555555555
Kempo,Port of Kempo,Kempo Port Authority,"Port OfficeKempo, SumbawaIndonesia",NAN,NAN,NAN,NAN,NAN,"8° 39' 48"" S","118° 13' 22"" E",IDKEM,Harbor,Very Small,-8.663333333333334,118.22277777777778
Kendari,Port of Kendari,Port Administration Office of Kendari,"Jl Jend Surdiman 68Kendari, Sulawesi Tenggara 93127Indonesia",62 401 321884,62 401 321976,NAN,NAN,NAN,"3° 58' 30"" S","122° 34' 53"" E",IDKDI,Seaport,Small,-3.975,122.58138888888888
Ketapang,Port of Ketapang,NAN,KetapangIndonesia,NAN,NAN,NAN,NAN,NAN,"8° 8' 17"" S","114° 24' 5"" E",NAN,"Pier, Jetty or Wharf",Small,-8.138055555555555,114.40138888888889
Kijang,Port of Kijang,Kijang Port Authority,Jl Hang Jebat No 29KijangIndonesia,NAN,NAN,NAN,NAN,NAN,"0° 51' 53"" N","104° 36' 48"" E",IDKID,Seaport,Small,0.8647222222222222,104.61333333333333
Kota Baru,Port of Kota Baru,Port Administration Office of Kotabaru,"Jl Pangeran Indra Ksuma Jaya 5Kota Baru, Kalsel 72113Indonesia",62 518 21239,62 518 24418,NAN,NAN,NAN,"3° 14' 21"" S","116° 13' 15"" E",IDKBU,"Pier, Jetty or Wharf",Small,-3.2391666666666667,116.22083333333333
Krueng Geukueh,Port of Krueng Geukueh,Krueng Geukueh Port Authority,"c/o Lhokseumawe Harbour OfficeJI Pelabuhan No 1Lhokseumawe, North AcehIndonesia",62 645 43485,62 645 43485,NAN,NAN,NAN,"5° 14' 35"" N","97° 2' 9"" E",NAN,Harbor,Small,5.243055555555555,97.03583333333333
Kuala Beukah,Port of Kuala Beukah,NAN,Kuala BeukahIndonesia,NAN,NAN,NAN,NAN,NAN,"4° 57' 25"" N","97° 46' 25"" E",NAN,Harbor,Very Small,4.956944444444445,97.77361111111111
Kuala Kapuas,Port of Kuala Kapuas,Kuala Kapuas Port Authority,"Port OfficeKuala Kapuas, KalimantanIndonesia",NAN,NAN,NAN,NAN,NAN,"3° 1' 23"" S","114° 23' 28"" E",IDKKA,River Port,Small,-3.0230555555555556,114.39111111111112
Kuala Tanjung,Port of Kuala Tanjung,Kuala Tanjung Port Administration Office,"Jl Pelbuhan Kuala TanjungKuala Tanjung, Sumut 21257Indonesia",62 622 31311,NAN,NAN,NAN,NAN,"3° 21' 48"" N","99° 27' 40"" E",NAN,"Pier, Jetty or Wharf",Small,3.3633333333333333,99.46111111111111
Kumai,Port of Kumai,Adpel Kumai,"Dit Jen Perhubungan LautJl Bendahara No 11Kumai, KaltengIndonesia",NAN,NAN,NAN,NAN,NAN,"2° 44' 25"" S","111° 43' 42"" E",IDKUM,"Pier, Jetty or Wharf",Small,-2.740277777777778,111.72833333333334
Kupang,Port of Kupang,Kupang Port Administration,"Dit Jen Perhubungan LautJl Yos Sudarso No 23Tenau, Kupang, Timor BaratIndonesia",62 391 21790,NAN,NAN,NAN,NAN,"10° 9' 14"" S","123° 35' 21"" E",NAN,"Pier, Jetty or Wharf",Small,-10.15388888888889,123.58916666666666
Larantuka,Port of Larantuka,NAN,LarantukaIndonesia,NAN,NAN,NAN,NAN,NAN,"8° 20' 33"" S","122° 59' 22"" E",IDLKA,"Pier, Jetty or Wharf",Small,-8.342500000000001,122.98944444444444
Lembar,Port of Lembar,Adpel Lembar,"Dit Jen Perhubungan LautJl Pelabuhan No 5Lembar, LombokIndonesia",NAN,NAN,NAN,NAN,NAN,"8° 43' 47"" S","116° 4' 25"" E",IDAMP,Harbor,Small,-8.729722222222222,116.0736111111111
Lhoknga,Port of Lhoknga,NAN,LhokngaIndonesia,NAN,NAN,NAN,NAN,NAN,"5° 27' 3"" N","95° 14' 29"" E",IDLHK,"Pier, Jetty or Wharf",Very Small,5.450833333333334,95.24138888888889
Madura,Port of Madura,NAN,MaduraIndonesia,NAN,NAN,NAN,NAN,NAN,"6° 53' 14"" S","112° 57' 39"" E",IDMDR,Harbor,Small,-6.8872222222222215,112.96083333333334
Majene,Port of Majene,Majene Port Authority,Jl Ammana Wewang No 21MajeneIndonesia,62 411 31137,NAN,NAN,NAN,NAN,"3° 32' 45"" S","118° 57' 57"" E",IDMAJ,"Pier, Jetty or Wharf",Very Small,-3.5458333333333334,118.96583333333334
Malili,Mangkasa Oil Terminal,NAN,Indonesia,NAN,NAN,NAN,NAN,NAN,"2° 43' 59"" S","121° 4' 0"" E",NAN,Off-Shore Terminal,Very Small,-2.7330555555555556,121.06666666666666
Malili,Port of Malili,NAN,MaliliIndonesia,NAN,NAN,NAN,NAN,NAN,"2° 38' 36"" S","121° 4' 37"" E",IDMLI,River Port,Very Small,-2.643333333333333,121.07694444444444
Manado,Port of Manado,Manado Port Administration Office,Jl Komp PelebuahanManadoIndonesia,62 431 867054,62 431 867054,NAN,NAN,NAN,"1° 28' 55"" N","124° 49' 52"" E",IDMDC,Harbor,Small,1.4819444444444445,124.83111111111111
Manokwari,Port of Manokwari,Manokwari Port Administration Office,"Jl Banjarmasin 3Manokwari, Irian Jaya 98311Indonesia",62 986 211821,62 986 211821,NAN,NAN,NAN,"0° 52' 2"" S","134° 4' 10"" E",IDMKW,Harbor,Small,-0.8672222222222222,134.06944444444443
Maumere,Port of Maumere,Maumere Port Authority,"Pelabuhan MaumereJl Pelabuhan No 3Maumere, Flores IslandIndonesia",62 382 54618,NAN,NAN,NAN,NAN,"8° 36' 28"" S","122° 12' 38"" E",IDMOF,Harbor,Small,-8.607777777777777,122.21055555555556
Merak,Merak Petroleum Base,NAN,MerakIndonesia,NAN,NAN,NAN,NAN,NAN,"5° 57' 19"" S","105° 59' 53"" E",Merak,"Pier, Jetty or Wharf",Small,-5.955277777777778,105.99805555555555
Merauke,Port of Merauke,Merauke Port Administration Office,Jl Sabang 7Merauke 99613Indonesia,62 971 323040,62 971 323040,NAN,NAN,NAN,"8° 28' 17"" S","140° 23' 32"" E",IDMKQ,Harbor,Small,-8.471388888888889,140.39222222222222
Meulaboh,Port of Meulaboh,NAN,MeulabohIndonesia,NAN,NAN,NAN,NAN,NAN,"4° 7' 54"" N","96° 7' 45"" E",IDMEQ,Harbor,Small,4.131666666666666,96.12916666666666
Namlea,Port of Namlea,NAN,NamleaIndonesia,NAN,NAN,NAN,NAN,NAN,"3° 16' 7"" S","127° 5' 14"" E",IDNAM,Harbor,Small,-3.268611111111111,127.08722222222222
Natuna Gas Field,FPSO Anoa Natuna,Amoseas Indonesia Inc.,Indonesia,NAN,NAN,NAN,NAN,NAN,"4° 27' 21"" N","105° 36' 2"" E",NAN,Off-Shore Terminal,Very Small,4.4558333333333335,105.60055555555554
Natuna Gas Field,Udang Natuna Terminal,Pertamina,Indonesia,NAN,NAN,NAN,NAN,www.pertamina.com,"4° 1' 59"" N","106° 28' 59"" E",NAN,Off-Shore Terminal,Very Small,4.033055555555555,106.48305555555555
Nunukan,Port of Nunukan,NAN,NunukanIndonesia,NAN,NAN,NAN,NAN,NAN,"4° 8' 42"" N","117° 39' 17"" E",IDNNX,"Pier, Jetty or Wharf",Small,4.1450000000000005,117.65472222222223
Palembang,Port of Palembang,Indonesia Port Corp II,"Jl. Blinyu nomor 1Boom BaruPalembang, South SumateraIndonesia",0711 710611,NAN,NAN,datin@palembangport.com,www.palembangport.com,"2° 58' 52"" S","104° 46' 54"" E",IDPLM,River Port,Small,-2.9811111111111113,104.78166666666667
Pangkal Balam,Port of Pangkal Balam,Indonesia Port Corporation II,Jl.Yos Sudarso No.1Pangkal Pinang 33114Indonesia,0717 421737,NAN,NAN,NAN,portal.inaport2.co.id,"2° 5' 50"" S","106° 7' 58"" E",IDPGX,River Port,Small,-2.0972222222222223,106.13277777777778
Pangkalan Susu,Port of Pangkalan Susu,Pangkalan Susu Port Administration Office,"Jl Pelabuhan 5Pangkalan Susu, Langkat Sumut 20858Indonesia",62 620 51024,62 620 51024,NAN,NAN,NAN,"4° 7' 17"" N","98° 12' 32"" E",IDPKS,Seaport,Small,4.121388888888888,98.2088888888889
Panjang,Port of Panjang,Indonesia Port Corp II,PanjangIndonesia,62 21 435 1226,62 21 435 1225,NAN,NAN,portal.inaport2.co.id,"5° 28' 5"" S","105° 18' 58"" E",IDPNJ,Seaport,Small,-5.468055555555556,105.31611111111111
Pantoloan,Port of Pantoloan,Adpel Pantoloan,"Jl Komplek Pelabuhan PantoloanPantoloan, Sulawesi Tengah 94352Indonesia",62 451 491500,62 451 492353,NAN,NAN,NAN,"0° 41' 58"" S","119° 50' 18"" E",IDPTL,"Pier, Jetty or Wharf",Small,-0.6994444444444444,119.83833333333332
Pare Pare,Port of Pare Pare,Pare-Pare Port Administration Office,"PO Box 26Jl Andi Cammi 1Pare Pare, Sulawesi Selatan 91111Indonesia",NAN,NAN,NAN,NAN,NAN,"4° 0' 26"" S","119° 37' 22"" E",IDPAP,Harbor,Small,-4.0072222222222225,119.62277777777777
Pemangkat,Port of Pemangkat,Pemangkat Port Authority,"Pemangkat, KalimantanIndonesia",NAN,NAN,NAN,NAN,NAN,"1° 10' 49"" N","108° 58' 16"" E",IDPEM,River Port,Very Small,1.1802777777777778,108.97111111111111
Penuba,Port of Penuba,Penuba Port Authority,"Penuba, Kepulauan LinggaIndonesia",NAN,NAN,NAN,NAN,NAN,"0° 20' 25"" S","104° 27' 59"" E",IDPNG,"Pier, Jetty or Wharf",Small,-0.34027777777777773,104.46638888888889
Plaju,Port of Plaju,NAN,PlajuIndonesia,NAN,NAN,NAN,NAN,NAN,"2° 59' 32"" S","104° 49' 56"" E",IDPLA,Seaport,Small,-2.9922222222222223,104.83222222222221
Poso,Port of Poso,Adpel Poso,"Dit Jen Perhubungan LautJl PatimuraPoso, SultengIndonesia",62 452 21620,NAN,NAN,NAN,NAN,"1° 23' 1"" S","120° 45' 0"" E",IDPSJ,"Pier, Jetty or Wharf",Small,-1.3836111111111111,120.75
Probolinggo,Port of Probolinggo,Probolinggo Port Administration Office,"Dit Jen Perhubungan LautJl Tanjung Tembaga TimurProbolinggo, JatimIndonesia",62 335 421685,NAN,NAN,NAN,NAN,"7° 43' 47"" S","113° 13' 10"" E",IDPRO,Seaport,Small,-7.729722222222223,113.21944444444445
Pulan Bay,Pulan Bay,NAN,Pulan BayIndonesia,NAN,NAN,NAN,NAN,NAN,"3° 54' 34"" S","102° 17' 31"" E",NAN,"Pier, Jetty or Wharf",Very Small,-3.9094444444444445,102.29194444444444
Pulang Pisau,Port of Pulang Pisau,Pulang Pisau Port Administration Office,"Jl Samudera 137Pulang Pisau, Lembar 73561Indonesia",62 513 61146,62 513 61146,NAN,NAN,NAN,"3° 21' 30"" S","114° 15' 19"" E",IDPPS,River Port,Small,-3.3583333333333334,114.25527777777778
Pulau Bukum,Pulau Bukum,PERTAMINA,Pulau BukumIndonesia,62 21 7917 3000,62 21 7972 177,NAN,pcc@pertamina.com,www.pertamina.com,"1° 14' 0"" N","103° 46' 6"" E",NAN,Seaport,Small,1.2333333333333334,103.76833333333333
Pulau Sambu,Port of Pulau Sambu,PERTAMINA,Pulau SambuIndonesia,62 21 7917 3000,62 21 7972 177,NAN,pcc@pertamina.com,www.pertamina.com,"1° 9' 33"" N","103° 53' 51"" E",IDPSS,"Pier, Jetty or Wharf",Small,1.1591666666666667,103.89750000000001
Pulau Sebarok,Pulau Sebarok,PERTAMINA,Pulau SambuIndonesia,62 21 7917 3000,62 21 7972 177,NAN,pcc@pertamina.com,www.pertamina.com,"1° 12' 20"" N","103° 47' 45"" E",NAN,Seaport,Small,1.2055555555555555,103.79583333333333
Sabang,Port of Sabang,Sabang Port Administration Office,"Dit Jen Perhubungan LautCabang SabangSabang, AcehIndonesia",62 652 21057,NAN,NAN,NAN,NAN,"5° 53' 11"" N","95° 19' 10"" E",IDSBG,Harbor,Small,5.886388888888888,95.31944444444444
Salawati,Port of Salawati,Salawati Port Authority,32-34 Jl Yos SudarsoTanjung PriokJakartaIndonesia,62 21 494309,NAN,NAN,NAN,NAN,"1° 20' 49"" S","130° 58' 52"" E",NAN,"Pier, Jetty or Wharf",Small,-1.3469444444444443,130.98111111111112
Samarinda,Port of Samarinda,NAN,SamarindaIndonesia,NAN,NAN,NAN,NAN,NAN,"0° 31' 42"" S","117° 8' 30"" E",IDSRI,River Port,Small,-0.5283333333333334,117.14166666666668
Sambas,Port of Sambas,Sambas Port Authority,"Port OfficeSambas, KalimantanIndonesia",NAN,NAN,NAN,NAN,NAN,"1° 21' 50"" N","109° 18' 24"" E",IDSBS,River Port,Small,1.363888888888889,109.30666666666666
Sampit,Port of Sampit,Sampit Port Administration Office,"Jl Iskandar No 3Sampit, Kalteng 74322Indonesia",62 531 21097,62 531 22488,NAN,NAN,NAN,"2° 32' 27"" S","112° 57' 53"" E",IDSMQ,River Port,Small,-2.540833333333333,112.96472222222222
Sangata,Tanjung Bara Coal Terminal,NAN,SangataIndonesia,NAN,NAN,NAN,NAN,NAN,"0° 31' 56"" N","117° 38' 54"" E",IDTBA,"Pier, Jetty or Wharf",Small,0.5322222222222223,117.64833333333334
Sangatta,Port of Sangatta,NAN,SangattaIndonesia,NAN,NAN,NAN,NAN,NAN,"0° 23' 4"" N","117° 33' 56"" E",IDSGQ,"Pier, Jetty or Wharf",Very Small,0.3844444444444445,117.56555555555555
Santan,Santan Terminal,Pertamina,SantanIndonesia,NAN,NAN,NAN,NAN,www.pertamina.com,"0° 6' 0"" S","117° 31' 59"" E",IDSAT,Off-Shore Terminal,Very Small,-0.1,117.53305555555555
Sekupang,Port of Sekupang,NAN,SekupangIndonesia,NAN,NAN,NAN,NAN,NAN,"1° 5' 26"" N","103° 54' 52"" E",NAN,Seaport,Medium,1.0905555555555555,103.91444444444446
Semaka,Semangka Bay,NAN,SemakaIndonesia,NAN,NAN,NAN,NAN,NAN,"5° 31' 58"" S","104° 35' 18"" E",IDSMB,Waterway Region,Small,-5.532777777777778,104.58833333333332
Senipah,Senipah Terminal,Pertamina,SenipahIndonesia,NAN,NAN,NAN,NAN,www.pertamina.com,"1° 3' 0"" S","117° 13' 0"" E",Senip,Off-Shore Terminal,Very Small,-1.05,117.21666666666667
Sintete,Port of Sintete,Sintete Port Administration Office,"Jl Pelabuhan 1Sintete, Kalbar 79153Indonesia",62 562 243213,NAN,NAN,NAN,NAN,"1° 14' 23"" N","109° 8' 20"" E",NAN,River Port,Small,1.2397222222222224,109.1388888888889
Sorong,Kasim Marine Terminal,Kasim Port Administrator,"Jl Jend A Yani No 19Sorong, Irian JayaIndonesia",62 951 21839,NAN,NAN,NAN,NAN,"1° 18' 27"" S","131° 1' 21"" E",IDSOQ,Harbor,Small,-1.3075,131.0225
Sorong,Port of Sorong,Adpel Sorong,"DitjenhublaJl Jend A Yani No 19Sorong, Irian JayaIndonesia",62 951 21839,NAN,NAN,NAN,NAN,"0° 52' 37"" S","131° 14' 52"" E",IDSOQ,Seaport,Small,-0.8769444444444445,131.24777777777777
Stagen,Port of Stagen,NAN,StagenIndonesia,NAN,NAN,NAN,NAN,NAN,"3° 17' 30"" S","116° 8' 47"" E",NAN,"Pier, Jetty or Wharf",Small,-3.2916666666666665,116.1463888888889
Sungai Pakning,Port of Sungai Pakning,NAN,Sungai PakningIndonesia,NAN,NAN,NAN,NAN,NAN,"1° 20' 40"" N","102° 9' 32"" E",IDSEQ,"Pier, Jetty or Wharf",Small,1.3444444444444443,102.1588888888889
Tanah Merah,Port of Tanah Merah,Tanah Merah Port,"PT Kideco Jaya AgungTanah Merah, East KalimantanIndonesia",62 543 21902,62 543 21903,NAN,NAN,NAN,"1° 49' 10"" S","116° 9' 21"" E",IDTMH,Harbor,Small,-1.8194444444444444,116.15583333333333
Tanjung Gerem,Port of Tanjung Gerem,NAN,Tanjung GeremIndonesia,NAN,NAN,NAN,NAN,NAN,"5° 58' 1"" S","105° 59' 46"" E",NAN,"Pier, Jetty or Wharf",Small,-5.966944444444445,105.9961111111111
Tanjung Intan,Port of Tanjung Intan,NAN,Tanjung IntanIndonesia,NAN,NAN,NAN,NAN,NAN,"7° 43' 4"" S","109° 0' 8"" E",IDCXP,Seaport,Medium,-7.717777777777778,109.00222222222222
Tanjung Pandan,Port of Tanjung Pandan,Indonesia Port Corporation II,"Jl.Pelabuhan No.1Tanjung Pandan, Belitung 33411Indonesia",0719 21049,NAN,NAN,NAN,portal.inaport2.co.id,"2° 44' 48"" S","107° 37' 51"" E",IDTJQ,Seaport,Small,-2.7466666666666666,107.63083333333333
Tanjung Uban,Port of Tanjung Uban,Tanjung Uban Port Administration Office,"Jl Nusa Indah 1Tanjung Uban, Bintan Utara 29152Indonesia",62 771 81064,62 771 483454,NAN,NAN,NAN,"1° 4' 4"" N","104° 12' 50"" E",IDTUB,Seaport,Medium,1.0677777777777777,104.21388888888889
Tarakan,Port of Tarakan,Tarakan Port Administration Office,"Jl Yos Sudarso 8Tarakan, Kalimantan 77126Indonesia",62 551 35808,62 551 21675,NAN,NAN,NAN,"3° 17' 27"" N","117° 35' 16"" E",IDTRK,"Pier, Jetty or Wharf",Small,3.290833333333333,117.58777777777777
Tegal,Port of Tegal,Tegal Port Authority,"Jl RE Martadinata No 9Tegal, JawaIndonesia",NAN,NAN,NAN,NAN,NAN,"6° 50' 56"" S","109° 8' 13"" E",IDTEG,Harbor,Small,-6.848888888888888,109.13694444444445
Telok Ayer,Port of Telok Ayer,NAN,Telok AyerIndonesia,NAN,NAN,NAN,NAN,NAN,"0° 44' 31"" S","109° 32' 16"" E",IDTKA,"Pier, Jetty or Wharf",Very Small,-0.7419444444444444,109.53777777777778
Ternate,Port of Ternate,Ternate Port Administration Office,"Komp PelabuhanPulau Ternate, Maluku Urara 97714Indonesia",62 921 21767,NAN,NAN,NAN,NAN,"0° 46' 46"" N","127° 23' 16"" E",IDTTE,Seaport,Small,0.7794444444444445,127.38777777777779
Tubang,Port of Tubang,NAN,TubangIndonesia,NAN,NAN,NAN,NAN,NAN,"1° 45' 39"" S","125° 5' 43"" E",NAN,"Pier, Jetty or Wharf",Very Small,-1.7608333333333333,125.09527777777777
Waingapu,Port of Waingapu,Waingapu Port Administration Office,Jl Nangamesi 11WaingapuIndonesia,62 387 61418,NAN,NAN,NAN,NAN,"9° 38' 37"" S","120° 15' 12"" E",IDWGP,Harbor,Small,-9.643611111111111,120.25333333333333
Waisarisa,Port of Waisarisa,NAN,WaisarisaIndonesia,NAN,NAN,NAN,NAN,NAN,"3° 12' 35"" S","128° 16' 17"" E",NAN,"Pier, Jetty or Wharf",Small,-3.2097222222222226,128.2713888888889
Wamsasi,Port of Wamsasi,NAN,WamsasiIndonesia,NAN,NAN,NAN,NAN,NAN,"3° 31' 28"" S","126° 9' 0"" E",NAN,"Pier, Jetty or Wharf",Very Small,-3.5244444444444443,126.15
